URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/national/health-science/trump-house-gop-ask-appeals-court-to-again-delay-decision-on-health-care-law-provision/2017/05/22/cdfef8ba-3ef8-11e7-9869-bac8b446820a_story.html?utm_term=.054e1692d125,158538,29,text/html
https://www.washingtonpost.com/blogs/right-turn/wp/2017/07/28/republicans-dream-of-repealing-obamacare-ends/?utm_term=.65512543591b,154170,28,text/html
https://www.washingtonpost.com/news/politics/wp/2017/06/26/its-official-the-senate-health-care-bill-is-about-cutting-medicaid/?utm_term=.935e4d384139,162894,42,text/html
https://www.washingtonpost.com/graphics/2017/politics/obamacare-senate-bill-compare/?utm_term=.ec7baed7eb3b,103147,187,text/html
https://www.washingtonpost.com/opinions/how-health-care-controls-us/2017/07/23/cd157e00-6e38-11e7-96ab-5f38140b38cc_story.html?utm_term=.44dc11190eda,158105,41,text/html
https://www.washingtonpost.com/blogs/plum-line/wp/2017/07/26/trump-and-republicans-treat-their-voters-like-morons/?utm_term=.734b834971e0,159079,31,text/html
https://www.washingtonpost.com/amphtml/opinions/its-not-obamacare-anymore-its-our-national-health-care-system/2017/07/28/1a6583fe-73d3-11e7-9eac-d56bd5568db8_story.html,49184,54,text/html
https://www.washingtonpost.com/blogs/plum-line/wp/2017/07/28/now-that-trumpcare-has-failed-its-time-to-drop-all-the-lies/?utm_term=.c3cedd24a5c4,166292,43,text/html
https://www.washingtonpost.com/powerpost/the-night-john-mccain-killed-the-gops-health-care-fight/2017/07/28/f5acce58-7361-11e7-8f39-eeb7d3a2d304_story.html?hpid=hp_hp-top-table-main_scene-645a%3Ahomepage%2Fstory&utm_term=.39889bbbf3ac,162069,29,text/html
https://www.washingtonpost.com/opinions/an-obamacare-repeal-thats-both-heartless-and-reckless/2017/03/07/79f44bb0-0381-11e7-b9fa-ed727b644a0b_story.html?utm_term=.c9a3633bca9f,156307,36,text/html
https://www.washingtonpost.com/opinions/republicans-should-read-the-cbo-report/2017/03/14/b7bc1c1c-08f8-11e7-a15f-a58d4a988474_story.html,156585,36,text/html
https://www.washingtonpost.com/opinions/the-trumpcare-trap/2017/03/14/4746bb0c-08dc-11e7-a15f-a58d4a988474_story.html?utm_term=.3d812ffb4a37,156518,38,text/html
https://www.washingtonpost.com/blogs/post-partisan/wp/2017/03/13/the-gop-obamacare-replacement-is-heartlessness-distilled/?utm_term=.b9ff487d47a4,156271,28,text/html
https://www.washingtonpost.com/opinions/dont-undermine-the-congressional-budget-office-use-it/2017/03/13/668d940c-0820-11e7-b77c-0047d15a24e0_story.html?utm_term=.c46c72f11778,156423,33,text/html
